<Phenotype>							
taxa	factor	data	data	data	covariate	covariate	covariate
NC324	B	60.2	65.9	36.4	0.999	0.001	1.1E-16
NC326	B	87.1	65.6	38.4	0.998	0.001	0.001
NC328	B	62.6	70.3	34.4	0.998	0.001	0.001
NC33	B	98.4	75.9	34.3	0.129	0.862	0.009
NC330	B	69.9	69.4	42.2	0.999	0.001	1.1E-16
NC332	B	76.9	68.2	31.9	0.013	0.017	0.97
NC334	B	79	70.1	33.3	0.002	0.022	0.976
NC336	B	51.2	73.4	30.6	0.002	0.001	0.997
NC338	B	66.7	65.1	29.6	0.002	0.003	0.995
NC340	B	57.7	67.5	34.4	0.009	0.004	0.987
NC342	B	63.3	61	32.9	0.005	0.994	0.001
NC344	B	67.8	69.7	37.9	0.002	0.997	0.001
NC346	B	58.4	68.4	31.7	0.002	0.001	0.997
NC348	B	72.3	66	28.8	0.001	0.001	0.998
NC350	B	47.9	71.1	31.6	0.003	0.002	0.995
NC352	B	53.6	73.2	32.4	0.003	0.001	0.996
NC354	B	68.2	69.9	28.7	0.01	0.001	0.989
NC356	B	54.8	69.7	30.9	0.001	0.031	0.968
NC358	B	40.3	59.3	32	0.001	0.143	0.856
NC360	B	55.3	68.4	33.6	0.001	0.475	0.524
NC362	B	51.1	65.8	34.1	0.002	0.54	0.458
NC364	B	45.9	60.9	34.7	0.002	0.507	0.491
NC366	B	55.3	76.5	31.8	0.018	0.467	0.515
NC368	B	67	72.1	39.5	0.996	0.003	0.001
NC370	B	70.3	71.5	41.6	0.003	0.003	0.994
NC372	B	68	63.4	39.1	0.998	0.001	0.001
ND246	B	37.4	54.2	33.2	0.004	0.76	0.236
OH40B	B	49.9	66.2	33.4	0.002	0.996	0.002
OH43	B	46	56.8	35.6	0.001	0.998	0.001
OH43E	B	30.4	57.6	32.9	0.002	0.997	0.001
OH603	B	52.5	62.7	37	0.002	0.669	0.329
OH7B	B	85.5	76.3	37.3	0.031	0.967	0.002
OS420	B	68.3	56.9	34.5	0.016	0.983	0.001
PA762	B	51.1	68.2	38.4	0.001	0.998	0.001
PA875	B	68.7	63.1	38.3	0.002	0.979	0.019
PA880	B	73.2	60.2	NaN	0.002	0.993	0.005
PA91	B	62.9	72.6	37.1	0.001	0.997	0.002
Q6199	B	NaN	84.9	37	0.003	0.007	0.99
R109B	B	43.3	68.4	37	0.113	0.855	0.032
R168	B	53	63.1	27.7	0.002	0.996	0.002
R177	B	28.3	60.6	34.7	0.122	0.875	0.003
R229	B	77.6	71.5	43.7	0.991	0.002	0.007
R4	B	44.7	69.8	39.6	0.019	0.979	0.002
SC213R	B	62.1	78.2	32.5	0.002	0.579	0.419
SC357	B	54.1	72.6	30.6	0.003	0.622	0.375
SC55	B	132.9	73	46	0.046	0.626	0.328
SD40	B	50.4	NaN	39.7	0.417	0.581	0.002
SD44	B	40.2	65.1	40.4	0.006	0.993	0.001
T232	B	76	73.1	37.5	0.14	0.459	0.401
T234	B	59.7	68	40	0.003	0.985	0.012
T8	B	92.3	74.3	32.5	0.003	0.989	0.008
TX303	B	98.6	66.2	40.5	0.065	0.36	0.575
TX601	B	85.3	82.6	42.7	0.003	0.004	0.993
TZI10	B	79.7	78	34.9	0.003	0.005	0.992
TZI11	B	76.4	73.1	36.5	0.002	0.184	0.814
TZI16	B	79.8	77.2	42.8	0.248	0.351	0.401
TZI18	B	83.3	66.4	42.8	0.002	0.003	0.995
TZI25	B	85.8	72.5	38.3	0.305	0.086	0.609
TZI8	B	89.1	73	41.2	0.041	0.005	0.954
TZI9	B	81.6	71.2	39.1	0.008	0.011	0.981
U267Y	B	52.7	73	32.9	0.002	0.595	0.403
VA102	B	44	62.2	37	0.001	0.994	0.005
VA14	B	51.5	68.7	34.6	0.002	0.995	0.003
VA17	B	53.3	67.3	33.9	0.002	0.997	0.001
VA22	B	57.8	70.9	40.6	0.001	0.995	0.004
VA26	B	37.8	61.9	36.4	0.005	0.983	0.012
VA35	B	56.3	60.7	41.2	0.002	0.996	0.002
VA59	B	38.7	58	38.4	0.003	0.994	0.003
VA85	B	64.9	67.2	38.6	0.014	0.983	0.003
VA99	B	57.4	63.8	39.8	0.158	0.84	0.002
VAW6	B	36.2	67.1	37.8	0.02	0.724	0.256
W117HT	B	29.8	70.8	23.8	0.159	0.617	0.224
W153R	B	24.2	64.9	37	0.145	0.853	0.002
W182B	B	48.9	57.8	31.4	0.153	0.845	0.002
W22	B	43.5	67.3	31.6	0.063	0.931	0.006
W401	B	39.4	59.1	35.7	0.005	0.993	0.002
W64A	B	55.7	60.9	38.6	0.001	0.998	0.001
WD	B	50.1	59.8	35.1	0.014	0.97	0.016
WF9	B	47.2	62.6	39.6	0.005	0.994	0.001
YU796NS	B	58.2	66.6	45.6	0.189	0.785	0.026
